Date,pwr_de_da
2023-01-02,
2023-01-03,170.7199632633698
2023-01-04,163.26629204061007
2023-01-05,187.55969240630057
2023-01-06,163.92305906959632
2023-01-09,173.93603452663476
2023-01-10,183.1844263552044
2023-01-11,165.1441486960053
2023-01-12,155.84735216182588
2023-01-13,161.7739929963417
2023-01-16,151.71421563235742
2023-01-17,141.71400418920814
2023-01-18,152.25172194118144
2023-01-19,128.61609556129176
2023-01-20,143.47982718090836
2023-01-23,153.2182258557188
2023-01-24,132.479790906088
2023-01-25,142.37167300008224
2023-01-26,126.2744563554408
2023-01-27,122.51266137903828
2023-01-30,150.72728396673858
2023-01-31,138.42463948908835
2023-02-01,145.92518293866007
2023-02-02,125.77972005503692
2023-02-03,136.36627262113842
2023-02-06,143.38132832696544
2023-02-07,125.07956396399338
2023-02-08,136.74288075480302
2023-02-09,124.97821553067877
2023-02-10,130.61495954863327
2023-02-13,122.81083541035603
2023-02-14,148.77658517217296
2023-02-15,135.01182691405484
2023-02-16,118.8891940375246
2023-02-17,131.46735097411647
2023-02-20,111.07146536243427
2023-02-21,124.30803556915005
2023-02-22,106.87730043108598
2023-02-23,113.6373369511631
2023-02-24,129.37711338770583
2023-02-27,126.99376535496968
2023-02-28,119.99138473813109
2023-03-01,118.0011164106986
2023-03-02,115.58166016381995
2023-03-03,99.95397913864598
2023-03-06,101.59565426672278
2023-03-07,106.75181005098409
2023-03-08,119.76432373981214
2023-03-09,115.27528084852733
2023-03-10,113.65049518156403
2023-03-13,127.64843892852895
2023-03-14,109.21888008337194
2023-03-15,103.61247743708782
2023-03-16,119.51406205890278
2023-03-17,120.59089196015087
2023-03-20,112.1765027969588
2023-03-21,100.92902797574328
2023-03-22,101.13657304076612
2023-03-23,114.28443604800628
2023-03-24,116.33405499188858
2023-03-27,104.79825736882341
2023-03-28,108.15060793529284
2023-03-29,99.05095321699767
2023-03-30,99.84483620355594
2023-03-31,128.82776079647846
2023-04-03,141.66110151241952
2023-04-04,117.30070045951634
2023-04-05,123.87083059015302
2023-04-06,114.40686025953626
2023-04-10,104.33930246300866
2023-04-11,115.59515888396828
2023-04-12,125.6563679167616
2023-04-13,108.2650364777016
2023-04-14,122.28733291424587
2023-04-17,80.39724666103356
2023-04-18,118.16322530915981
2023-04-19,105.72427139639768
2023-04-20,102.4244236204901
2023-04-21,105.49001085058681
2023-04-24,84.19480926087815
2023-04-25,101.68058151520627
2023-04-26,104.75622296844007
2023-04-27,116.98884353264695
2023-04-28,95.9750940451955
2023-05-01,93.69446321108506
2023-05-02,94.02132816330243
2023-05-03,106.62422432633944
2023-05-04,98.3868108493091
2023-05-05,91.73580072712683
2023-05-08,102.79607549375793
2023-05-09,96.69377710471316
2023-05-10,103.39974997847571
2023-05-11,86.69276913437331
2023-05-12,85.76207495421504
2023-05-15,84.16631674739166
2023-05-16,72.41694873330513
2023-05-17,90.29050092118516
2023-05-18,85.38705241042423
2023-05-19,83.64873582517934
2023-05-22,80.27522960456868
2023-05-23,67.24099428685899
2023-05-24,74.37004646097176
2023-05-25,70.25005413883616
2023-05-26,63.697228278147435
2023-05-29,70.10714385370353
2023-05-30,76.09860806450999
2023-05-31,95.47905751512272
2023-06-01,70.49007948320349
2023-06-02,72.55040218594087
2023-06-05,79.28734219722344
2023-06-06,53.246289137807764
2023-06-07,75.25795994078601
2023-06-08,77.41480146760104
2023-06-09,112.16332068530437
2023-06-12,83.47998888724968
2023-06-13,98.95057067665873
2023-06-14,100.3360828887897
2023-06-15,94.94572059416831
2023-06-16,105.17302693655874
2023-06-19,101.26412911827629
2023-06-20,109.42511986401186
2023-06-21,88.29442552519943
2023-06-22,105.85964337476857
2023-06-23,74.47418931705019
2023-06-26,93.24407174814904
2023-06-27,114.59515735663724
2023-06-28,81.98513675775304
2023-06-29,88.44302335390134
2023-06-30,99.14081500576152
2023-07-03,86.44414526233152
2023-07-04,75.97226749283219
2023-07-05,93.0969320642491
2023-07-06,77.53576197458207
2023-07-07,95.26772566123692
2023-07-10,74.5104561606794
2023-07-11,96.75544578958198
2023-07-12,68.33736695752371
2023-07-13,72.88208558400265
2023-07-14,82.87287372084255
2023-07-17,60.63145649224233
2023-07-18,79.34749986779653
2023-07-19,89.92172617401555
2023-07-20,62.99096692644811
2023-07-21,81.2187376651227
2023-07-24,86.99652628528439
2023-07-25,96.60702622744336
2023-07-26,69.33599209919265
2023-07-27,66.7348339102606
2023-07-28,79.713514832099
2023-07-31,82.76644510717546
2023-08-01,79.69122681421545
2023-08-02,84.05068332168102
2023-08-03,77.4210518960582
2023-08-04,83.14183832649515
2023-08-07,87.18142371665611
2023-08-08,78.32308579675278
2023-08-09,122.51404902980924
2023-08-10,102.78392870548248
2023-08-11,82.44496343486058
2023-08-14,99.10493212200954
2023-08-15,91.98848273000448
2023-08-16,107.4452468796143
2023-08-17,109.1464574013068
2023-08-18,88.48217650510824
2023-08-21,115.50396444176192
2023-08-22,114.46261126511924
2023-08-23,105.6992001350058
2023-08-24,106.26572925881716
2023-08-25,90.805819746248
2023-08-28,93.36004144165689
2023-08-29,85.24235507193555
2023-08-30,87.65309837705689
2023-08-31,93.01788150500676
2023-09-01,98.43522097487772
2023-09-04,97.79060922001148
